dataset,T2,clusters,min,mean
1684,5,4,0.4173228346456693,0.5779877797761155
1684,5,5,0.3291925465838509,0.6044405806782868
1684,5,6,0.2786885245901639,0.5645371759555555
1684,5,7,0.2786885245901639,0.5906885374426134
1684,5,8,0.32653061224489793,0.5879046891677553
1684,5,4,0.400990099009901,0.5949198204991093
1684,5,5,0.3614457831325301,0.6026481334935281
1684,5,6,0.3641975308641976,0.6280080354589854
1684,5,7,0.3333333333333333,0.5928960418412484
1684,5,8,0.3,0.5691300526742248
1684,5,4,0.3768844221105528,0.6002776573161878
1684,5,5,0.3254437869822485,0.6198308208885133
1684,5,6,0.32934131736526945,0.6414208061575489
1684,5,7,0.3128834355828221,0.6041634768481535
1684,5,8,0.17391304347826084,0.5678292910100753
1684,5,4,0.3493975903614458,0.5789074412623757
1684,5,5,0.32142857142857145,0.6061669435215947
1684,5,6,0.32098765432098764,0.6306929447815391
1684,5,7,0.32098765432098764,0.600686790013912
1684,5,8,0.16,0.5545855958098113
1684,5,4,0.4029850746268657,0.5941219887901307
1684,5,5,0.3291139240506329,0.6061795276820687
1684,5,6,0.3290322580645161,0.6284788645114124
1684,5,7,0.3028169014084507,0.6141838919902035
1684,5,8,0.2982456140350877,0.5845044818375218
1684,5,4,0.4097560975609756,0.5934727953006572
1684,5,5,0.3583815028901734,0.6103281510878433
1684,5,6,0.32,0.5755189523213007
1684,5,7,0.32,0.5966905878533787
1684,5,8,0.32,0.6130914918414918
1684,5,4,0.3979057591623037,0.5891723892552262
1684,5,5,0.3333333333333333,0.6042449830451637
1684,5,6,0.3416149068322981,0.6227105584039944
1684,5,7,0.3269230769230769,0.5902150516752686
1684,5,8,0.1590909090909091,0.5492585964004371
1684,2,4,0.385,0.5968786342920006
1684,2,5,0.32934131736526945,0.6049767806977849
1684,2,6,0.3375,0.6205030254503647
1684,2,7,0.3006993006993007,0.5912338678301838
1684,2,8,0.3207547169811321,0.5852434267877348
1684,2,4,0.3786407766990291,0.6071616985072349
1684,2,5,0.3313953488372093,0.6152293044229135
1684,2,6,0.32748538011695905,0.5784234907216069
1684,2,7,0.3137254901960784,0.5948065055050736
1684,2,8,0.2953020134228188,0.6040067687718694
1684,2,4,0.3391812865497076,0.5861056879436185
1684,2,5,0.3431952662721893,0.5995523702639007
1684,2,6,0.3470588235294117,0.6319817590497737
1684,2,7,0.32,0.5620886233809351
1684,2,8,0.34,0.5865722592394627
1684,2,4,0.3526011560693641,0.5739957966070576
1684,2,5,0.3588235294117647,0.6063375874757251
1684,2,6,0.3392857142857143,0.6276773013615119
1684,2,7,0.3313253012048193,0.5947178703163887
1684,2,8,0.3456790123456789,0.5868199510273445
1684,2,4,0.4140625,0.5865783264535059
1684,2,5,0.38372093023255816,0.6071574296344671
1684,2,6,0.3786982248520711,0.6307680581914766
1684,2,7,0.14814814814814814,0.5284965097890267
1684,2,8,0.3375,0.5843526148726403
1684,2,4,0.3980582524271845,0.6028167538284456
1684,2,5,0.3468208092485549,0.6117451142306634
1684,2,6,0.35294117647058826,0.6319992052620863
1684,2,7,0.2982456140350877,0.5943028484017313
1684,2,8,0.29310344827586204,0.6067377169137267
1684,2,4,0.37055837563451777,0.6020088301835079
1684,2,5,0.3258426966292135,0.6205823822823802
1684,2,6,0.3333333333333333,0.6393329062608999
1684,2,7,0.3207547169811321,0.6043384591819497
1684,2,8,0.2916666666666667,0.6190490761131517
1684,2,4,0.3930348258706468,0.5962753004599097
1684,2,5,0.3413173652694611,0.6092532949554803
1684,2,6,0.3496932515337423,0.6323523840275534
1684,2,7,0.32,0.5956666055382358
1684,2,8,0.2753623188405797,0.5673993216251405
1684,2,4,0.40625,0.5956234951845907
1684,2,5,0.4044943820224719,0.6039120166199301
1684,2,6,0.4,0.6300013162082128
1684,2,7,0.3855421686746988,0.6381676846656091
1684,2,8,0.3269230769230769,0.6061889170908158
1684,2,4,0.3430232558139535,0.5762024776936113
1684,2,5,0.3192771084337349,0.6105520295467585
1684,2,6,0.33125,0.625762119321902
1684,2,7,0.3076923076923077,0.5966019694591124
1684,2,8,0.3076923076923077,0.5787200427766739
1684,2,4,0.3430232558139535,0.579637591061922
1684,2,5,0.35365853658536583,0.5998764908048099
1684,2,6,0.2857142857142857,0.6017668364213261
1684,2,7,0.2571428571428571,0.5782279157109433
1684,2,8,0.2833333333333333,0.6042034886195242
1684,2,4,0.4108527131782946,0.5961388408235131
1684,2,5,0.3625730994152047,0.6126504894482583
1684,2,6,0.35294117647058826,0.6386277407949233
1684,2,7,0.25,0.6029974916253112
1684,2,8,0.19230769230769232,0.5560745204388788
1684,2,4,0.3980099502487561,0.5975025561802779
1684,2,5,0.31901840490797545,0.6086623457586541
1684,2,6,0.3291925465838509,0.6218662537429649
1684,2,7,0.3148148148148148,0.5954441583200981
1684,2,8,0.29310344827586204,0.5579310050102445
1684,2,4,0.4088397790055249,0.5811774244261779
1684,2,5,0.32515337423312884,0.6049896330489002
1684,2,6,0.3414634146341464,0.6270930242171643
1684,2,7,0.3207547169811321,0.5967908775860258
1684,2,8,0.3141025641025641,0.6094368078348792
1684,2,4,0.3969849246231156,0.5944414473128825
1684,2,5,0.3696969696969697,0.5996699243495381
1684,2,6,0.3414634146341464,0.6259287046081288
1684,2,7,0.2857142857142857,0.5869903551529151
1684,2,8,0.12903225806451613,0.5422249760293624
1684,2,4,0.375,0.602377812440915
1684,2,5,0.3236994219653179,0.6244273843930636
1684,2,6,0.2903225806451613,0.5817469844827167
1684,2,7,0.2903225806451613,0.6088299140796813
1684,2,8,0.1702127659574468,0.5675668733501293
1684,2,4,0.3811881188118812,0.6000534635264997
1684,2,5,0.3493975903614458,0.60098713033954
1684,2,6,0.3395061728395062,0.6244615959854011
1684,2,7,0.32926829268292684,0.6004325423549212
1684,2,8,0.18181818181818185,0.5532779500643972
1684,2,4,0.3980099502487561,0.5961832410491509
1684,2,5,0.3291139240506329,0.6071153096448715
1684,2,6,0.31210191082802546,0.5724489509993028
1684,2,7,0.3076923076923077,0.5881736235523142
1684,2,8,0.3178807947019868,0.5878178061046657
1684,2,4,0.398876404494382,0.5762102347153395
1684,2,5,0.36046511627906974,0.6110176912259402
1684,2,6,0.3550295857988165,0.6331181828461687
1684,2,7,0.32,0.5869644916454224
1684,2,8,0.18,0.5454242127991596
1684,2,4,0.3625730994152047,0.5800241288715137
1684,2,5,0.3395061728395062,0.6040944720338155
1684,2,6,0.36875,0.6199422469982606
1684,2,7,0.3269230769230769,0.5880305412664375
1684,2,8,0.16981132075471694,0.5510820710535858
1684,1,4,0.3651685393258427,0.5799880293069216
1684,1,5,0.3392857142857143,0.6036427587563951
1684,1,6,0.3414634146341464,0.6252435093502563
1684,1,7,0.2753623188405797,0.5894680949358663
1684,1,8,0.2753623188405797,0.5823715382277086
1684,1,4,0.375609756097561,0.6057123431144347
1684,1,5,0.32941176470588235,0.6125700581956921
1684,1,6,0.3212121212121212,0.5732832526950175
1684,1,7,0.3137254901960784,0.5918886694797061
1684,1,8,0.17391304347826084,0.5528257522889071
1684,1,4,0.3333333333333333,0.5822602189023757
1684,1,5,0.3352941176470588,0.6140014586272888
1684,1,6,0.32748538011695905,0.5781092560209707
1684,1,7,0.18867924528301888,0.5826702530102009
1684,1,8,0.32,0.5801249807095433
1684,1,4,0.40625,0.5902911675105614
1684,1,5,0.3433734939759036,0.6066029829201273
1684,1,6,0.3392857142857143,0.6285940916120087
1684,1,7,0.3333333333333333,0.6012178385357971
1684,1,8,0.17647058823529413,0.5483578998067646
1684,1,4,0.4140625,0.5898278117742329
1684,1,5,0.3742690058479532,0.6087794164092352
1684,1,6,0.33540372670807456,0.6439352094116145
1684,1,7,0.2388059701492537,0.5923839679632877
1684,1,8,0.3291925465838509,0.6081337918669216
1684,1,4,0.3971291866028708,0.6046050276909166
1684,1,5,0.3465909090909091,0.6112031274736193
1684,1,6,0.3567251461988304,0.6303453965042076
1684,1,7,0.3269230769230769,0.5973005127239474
1684,1,8,0.3090909090909091,0.6062690567380259
1684,1,4,0.3372093023255814,0.5782806049164275
1684,1,5,0.3258426966292135,0.6205823822823802
1684,1,6,0.33714285714285713,0.6370608501516345
1684,1,7,0.3103448275862069,0.6043806748793644
1684,1,8,0.16216216216216214,0.5587139267498827
1684,1,4,0.3919597989949749,0.594497998991168
1684,1,5,0.3312883435582822,0.6093031980936219
1684,1,6,0.3456790123456789,0.6306960720610532
1684,1,7,0.32,0.5956666055382359
1684,1,8,0.2456140350877193,0.5624273687567872
1684,1,4,0.40625,0.5996616648579514
1684,1,5,0.3806818181818182,0.608591871091871
1684,1,6,0.398876404494382,0.6316613409310038
1684,1,7,0.2833333333333333,0.5915575152236082
1684,1,8,0.2833333333333333,0.6048491320398026
1684,1,4,0.34355828220858897,0.5771713507874159
1684,1,5,0.3270440251572327,0.6039238854822315
1684,1,6,0.3333333333333333,0.5847187320644671
1684,1,7,0.2962962962962963,0.5864555711139562
1684,1,8,0.1956521739130435,0.5572626039337275
1684,1,4,0.3313953488372093,0.5827547107032782
1684,1,5,0.4114583333333333,0.638443506006006
