dataset,alpha,auc,ap,dp,true,false,fnr,tnr
cora,20.0,0.7593085345786721,0.7459296271957604,0.26618325885028105,0.0871262461186185,0.1642813514552474,0.4482352941176471,0.2037768031189084
cora,20.0,0.7104731590867357,0.6897585297791085,0.26101485884383363,0.0638876333429782,0.22071181140596868,0.2705829995549622,0.30345800988002825
cora,20.0,0.7319221255252422,0.7000498251509464,0.2903243790031076,0.13730805670844162,0.2379887576451515,0.2744357009732864,0.2784358498644213
cora,20.0,0.5983116635281156,0.5631978213790132,0.09876209642797544,0.053072015351226916,0.060202577775596525,0.2757004899862043,0.19813647574677995
cora,20.0,0.7335280075181201,0.7012435449957288,0.26831634667667364,0.08756429743763354,0.22854293865141026,0.2966739344192211,0.308711943793911
cora,20.0,0.6725458990598749,0.6464868594612196,0.1229301260536125,0.061473265003632586,0.0075211771614242485,0.28475259201022063,0.11781120558098974
cora,30.0,0.6675986303194841,0.6358063551594388,0.15768609204026715,0.04322604750967147,0.12572016255112975,0.21900452488687785,0.2283449342614076
cora,30.0,0.7212804568482225,0.6892127470688973,0.2194280891239816,0.10073738410920076,0.12470920275172866,0.3391071103837061,0.16012558869701726
cora,30.0,0.681421457607956,0.6687814985873475,0.1800114478686322,0.09304133458578896,0.05123797942227479,0.255519918189002,0.0941801497222893
cora,30.0,0.7411505460358839,0.7165474693586278,0.25074567222806377,0.03410622978118268,0.20127041877457733,0.2124910093502757,0.2407989779372021
cora,30.0,0.6953523038645586,0.6693972995048939,0.20465375341892444,0.07550893447597254,0.05728145790876366,0.18476531424025447,0.14742846094354214
cora,30.0,0.6510969326213684,0.6081360032478927,0.17012360568860216,0.0252441045132755,0.13623465717294295,0.18652714192282527,0.2190090960315544
cora,30.0,0.6550486265388202,0.6430974157862435,0.10657060820374202,0.08171858146756987,0.08336965217336567,0.3025828460038986,0.11314342828585708
cora,30.0,0.7027498028653831,0.6841763472102309,0.19281764845807745,0.07633853343488609,0.10362587631304544,0.2023529411764706,0.14941176470588236
cora,30.0,0.7259414753230669,0.6873603552291598,0.30326039842371955,0.15170889096869106,0.2190091241946016,0.3450980392156863,0.28385456394609715
cora,30.0,0.6538640185216524,0.6090059354079621,0.14386868068482025,0.019951023116074298,0.07289554521758405,0.23294117647058826,0.12881770336911028
cora,30.0,0.7308977456441351,0.7164663936042841,0.2940768560714525,0.10370845241794707,0.27603993838218016,0.3218125960061444,0.3248587570621469
cora,30.0,0.7014373724025939,0.6698559842891229,0.1702093497666321,0.038239565066837206,0.0746663215098722,0.325434439178515,0.2506408556527888
cora,30.0,0.7053692628425552,0.6723023357847338,0.2563314148886348,0.13628364683377733,0.1917941448069228,0.2904215456674473,0.2127459328642496
cora,30.0,0.6165722700906279,0.5730370653390368,0.12548220111145444,0.009433062226706666,0.11410614337274312,0.16715913887716335,0.1853179760677632
cora,30.0,0.7381674221993384,0.7102519177525732,0.2162882476558053,0.03909575477253678,0.22020225924461512,0.4098039215686273,0.29917153996101364
cora,30.0,0.7069373381965873,0.6828321509461021,0.13197508565245925,0.045228033209379216,0.047033718317581664,0.2672452158433467,0.2257788083476157
cora,30.0,0.7095117902703715,0.696098297040701,0.17861173680283154,0.05249041601960276,0.08739331771951264,0.3148943880720646,0.16033966033966035
cora,30.0,0.6174256199388612,0.6052395137967962,0.07608405774170758,0.02151329839164044,0.03352816138662109,0.21017078159935304,0.08046040010961908
cora,30.0,0.7047067465046862,0.6646045378888383,0.2521918499425773,0.10197245502473176,0.23360297229985225,0.2827797015946304,0.3286416861826698
cora,30.0,0.5682913919684296,0.5404472260786841,0.09929739557743776,0.07087100484553806,0.04742008463592354,0.2354675445924033,0.0748855461085677
cora,50.0,0.6863255187610946,0.6537014877366022,0.1954252466071212,0.06501410013674175,0.11824154692944935,0.23031674208144795,0.22375290023201846
cora,50.0,0.7073226058495872,0.6754205062868843,0.241996872334244,0.17463962630019886,0.10454422784766534,0.3739543553373341,0.1631463774320917
cora,50.0,0.7169524968584484,0.69707762603329,0.2973603698959432,0.20535718762572672,0.1718626090880202,0.3832101520011156,0.1995693471786203
cora,50.0,0.6879782089734958,0.6513643455980326,0.1639903945553431,0.03610869502824865,0.10927533069874594,0.1983936705825941,0.13539875190408335
cora,50.0,0.7104299514994834,0.6797556476971007,0.2013202536543004,0.0474704667475878,0.05247694606675582,0.23649783434986305,0.09645688321732404
cora,50.0,0.6554176913466006,0.6192364336048419,0.1402753732157399,0.00436092383489725,0.029249293129923363,0.2109657728362765,0.13736617564195444
cora,50.0,0.7088132676097922,0.6896378149410932,0.2605242845690243,0.1196704947949942,0.1976898751577488,0.2964668615984405,0.2594702648675662
